1, 1, froyo, 0
1, 2, froyo, 0
1, 3, froyo, 0
1, 4, froyo, 25
2, 1, froyo, 0
2, 2, froyo, 0
2, 3, froyo, 0
2, 4, gingerbread, 52
3, 1, froyo, 0
3, 2, froyo, 0
3, 3, froyo, 0
3, 4, icecream, 128
4, 1, froyo, 0
4, 2, froyo, 0
4, 3, froyo, 0
4, 4, jellybean, 328
5, 1, froyo, 0
5, 2, froyo, 0
5, 3, froyo, 0
5, 4, kitkat, 231
6, 1, gingerbread, 0
6, 2, gingerbread, 0
6, 3, gingerbread, 0
6, 4, gingerbread, 116
7, 1, gingerbread, 0
7, 2, gingerbread, 0
7, 3, gingerbread, 0
7, 4, icecream, 229
8, 1, gingerbread, 0
8, 2, gingerbread, 0
8, 3, gingerbread, 0
8, 4, jellybean, 73
9, 1, gingerbread, 0
9, 2, gingerbread, 0
9, 3, gingerbread, 0
9, 4, kitkat, 23
10, 1, gingerbread, 0
10, 2, icecream, 0
10, 3, jellybean, 0
10, 4, kitkat, 1265
11, 1, gingerbread, 0
11, 2, gingerbread, 0
11, 3, icecream, 0
11, 4, jellybean, 869
12, 1, gingerbread, 0
12, 2, icecream, 0
12, 3, icecream, 0
12, 4, jellybean, 321
13, 1, gingerbread, 0
13, 2, gingerbread, 0
13, 3, icecream, 0
13, 4, icecream, 264
14, 1, gingerbread, 0
14, 2, icecream, 0
14, 3, icecream, 0
14, 4, icecream, 168
15, 1, gingerbread, 0
15, 2, icecream, 0
15, 3, jellybean, 0
15, 4, jellybean, 476
16, 1, gingerbread, 0
16, 2, icecream, 0
16, 3, icecream, 0
16, 4, jellybean, 576
17, 1, gingerbread, 0
17, 2, icecream, 0
17, 3, jellybean, 0
17, 4, kitkat, 1342
18, 1, gingerbread, 0
18, 2, icecream, 0
18, 3, kitkat, 0
18, 4, kitkat, 469